Panel,n,Class: answered/gradable,Class accuracy,Class 95% CI,Class abstention,Order: answered/gradable,Order accuracy,Order 95% CI,Order abstention,Superfamily: answered/gradable,Superfamily accuracy,Superfamily 95% CI,Superfamily abstention
LTR retrotransposons (Copia / Gypsy),35,33/35,1.000,0.896–1.000,0.057,33/35,1.000,0.896–1.000,0.057,22/35,0.909,0.722–0.975,0.371
Endogenous retroviruses,20,14/20,1.000,0.785–1.000,0.300,14/20,1.000,0.785–1.000,0.300,0/0,n/a,n/a,n/a
DNA transposons (TIR),15,13/15,1.000,0.772–1.000,0.133,13/15,1.000,0.772–1.000,0.133,11/15,1.000,0.741–1.000,0.267
LINEs (non-LTR retrotransposons),11,5/11,1.000,0.566–1.000,0.545,5/11,1.000,0.566–1.000,0.545,0/8,n/a,n/a,1.000
Negative controls (non-TE),11,0/11,n/a,n/a,1.000,0/11,n/a,n/a,1.000,0/0,n/a,n/a,n/a
LTR divergence gradient,2,2/2,1.000,0.342–1.000,0.000,2/2,1.000,0.342–1.000,0.000,0/0,n/a,n/a,n/a
Assay design,1,0/0,n/a,n/a,n/a,0/0,n/a,n/a,n/a,0/1,n/a,n/a,1.000
Unreadable domain order,0,0/0,n/a,n/a,n/a,0/0,n/a,n/a,n/a,0/0,n/a,n/a,n/a
All panels combined,95,67/94,1.000,0.946–1.000,0.287,67/94,1.000,0.946–1.000,0.287,33/59,0.939,0.804–0.983,0.441
